JunctionID,StreetIntersectCount,JunctionType,longitude,latitude,Vulnerability
1,2,Junction,-123.2247581,49.27476,0.0
2,1,Dead end,-123.2238652,49.27737087,0.0
3,1,Dead end,-123.2224918,49.27093693,0.0
4,4,Junction,-123.2208917,49.27116799,0.0
5,3,Junction,-123.2205669,49.27383219,0.0
6,3,Junction,-123.2196133,49.26895668,0.0
7,2,Junction,-123.2195723,49.26720284,0.0
8,2,Junction,-123.2153964,49.2583821,0.0
9,3,Junction,-123.2153603,49.25937754,0.0
10,3,Junction,-123.2153278,49.26028296,0.0
11,3,Junction,-123.2152949,49.26118749,1.1165886676147725
12,3,Junction,-123.2152621,49.26209157,0.0
13,3,Junction,-123.2152295,49.26299562,0.0
14,3,Junction,-123.215196,49.26391861,0.7034476949995692
15,3,Junction,-123.2151642,49.26480277,0.0
16,3,Junction,-123.2151333,49.26567697,0.0
17,3,Junction,-123.2151021,49.2665214,0.0
18,4,Junction,-123.2150712,49.26737487,0.0
19,3,Junction,-123.21504,49.26822667,0.8890951079525365
20,4,Junction,-123.2150088,49.26909824,1.324564081967967
21,3,Junction,-123.214966,49.27027494,0.0
22,4,Junction,-123.214924,49.27143158,0.0
23,4,Junction,-123.2148808,49.2726088,0.0
24,5,Junction,-123.2148373,49.2737856,1.1695905424404989
25,3,Junction,-123.2148151,49.27437714,0.0
26,3,Junction,-123.2147625,49.27582138,0.0
27,3,Junction,-123.2133887,49.27140907,0.0
28,3,Junction,-123.2131595,49.27375918,0.0
29,3,Junction,-123.212325,49.25833512,0.3734642804542691
30,4,Junction,-123.2122887,49.25933056,0.0
31,4,Junction,-123.2122541,49.26023494,0.2148744477060795
32,4,Junction,-123.2122209,49.26113913,1.1625676488786585
33,4,Junction,-123.212189,49.26204353,0.0
34,4,Junction,-123.2121572,49.26294759,1.1600574427434838
35,4,Junction,-123.212124,49.26387078,1.0297859656221808
36,4,Junction,-123.2120915,49.26475542,0.0
37,4,Junction,-123.2120601,49.26562083,0.0
38,4,Junction,-123.2120289,49.26647397,0.0
39,4,Junction,-123.2119974,49.26732683,0.7397003733882802
40,4,Junction,-123.2119666,49.26818061,1.2361394103058867
41,4,Junction,-123.2119353,49.26905169,0.0
42,4,Junction,-123.2118932,49.2702283,0.0
43,5,Junction,-123.2118517,49.2713865,0.0
44,3,Junction,-123.211823,49.2721807,0.0
45,3,Junction,-123.211806,49.2726437,0.0
46,3,Junction,-123.2117945,49.27295946,0.0
47,4,Junction,-123.2117676,49.27373726,0.4475232137638106
48,3,Junction,-123.2117464,49.27432911,0.0
49,4,Junction,-123.211725,49.27492003,0.5811664141181095
50,1,Dead end,-123.2117015,49.2755743,0.0
51,3,Junction,-123.2108355,49.27137032,0.0
52,3,Junction,-123.2092816,49.25828874,0.0
53,4,Junction,-123.2092466,49.25928365,0.0
54,4,Junction,-123.2092148,49.26018819,0.355160814705073
55,4,Junction,-123.2091822,49.2610923,2.313809674569013
56,4,Junction,-123.2091499,49.26199577,0.0
57,4,Junction,-123.2091167,49.26289863,0.337754400898902
58,4,Junction,-123.2090842,49.26382357,1.899747479332856
59,3,Junction,-123.2090894,49.27018517,0.0
60,4,Junction,-123.2090532,49.26470851,0.6702242369160328
61,4,Junction,-123.2090225,49.26557484,0.0
62,4,Junction,-123.208991,49.26642852,0.0
63,4,Junction,-123.2089606,49.26728017,0.0
64,4,Junction,-123.2089291,49.26813221,0.2574846067639487
65,4,Junction,-123.2088978,49.26900603,0.0
66,3,Junction,-123.208876,49.26960359,0.0
67,4,Junction,-123.2088122,49.27133834,0.0
68,4,Junction,-123.2087851,49.27212187,0.0
69,3,Junction,-123.2087571,49.27290709,0.0
70,4,Junction,-123.2087279,49.27369025,0.0
71,4,Junction,-123.2087007,49.27443858,0.0
72,1,Dead end,-123.208682,49.27494842,0.0
73,1,Dead end,-123.2078672,49.26980589,0.0
74,1,Dead end,-123.2078031,49.27042309,0.3054590259283046
75,3,Junction,-123.2076868,49.2689864,0.0
76,1,Dead end,-123.207064,49.23604706,0.0
77,3,Junction,-123.2062416,49.25824243,0.0
78,4,Junction,-123.2062065,49.25923691,0.0
79,4,Junction,-123.2061737,49.26014063,0.0
80,4,Junction,-123.2061431,49.26104407,0.0
81,4,Junction,-123.2061112,49.26194865,0.0
82,4,Junction,-123.2060781,49.26285266,0.7469285609085383
83,4,Junction,-123.2060456,49.26377536,2.850425589839578
84,4,Junction,-123.2060142,49.26466081,0.0
85,4,Junction,-123.2059835,49.26552761,0.0
86,3,Junction,-123.2059527,49.2663799,0.0
87,4,Junction,-123.2059221,49.26723368,0.0
88,3,Junction,-123.2058899,49.26808627,0.8737752883483896
89,2,Junction,-123.2057505,49.23694286,0.0
90,4,Junction,-123.2058576,49.26895739,0.0
91,4,Junction,-123.2058153,49.27013411,0.0
92,4,Junction,-123.2057733,49.27129037,0.0
93,3,Junction,-123.2057451,49.27207625,0.0
94,3,Junction,-123.2057145,49.27290813,0.237592554788293
95,3,Junction,-123.2056882,49.27364281,0.0
96,3,Junction,-123.2056421,49.27489724,0.0
97,1,Dead end,-123.2056223,49.27545431,0.0
98,3,Junction,-123.2051112,49.2701446,0.0
99,2,Junction,-123.2049546,49.2493104,0.0
100,2,Psudo,-123.2050219,49.26932248,0.0
101,3,Junction,-123.2044227,49.23627069,0.0
102,3,Junction,-123.2041796,49.23665858,0.0
103,2,Psudo,-123.2041207,49.22969288,0.0
104,2,Psudo,-123.2041005,49.23568986,0.0
105,3,Junction,-123.2039559,49.23024315,0.0
106,3,Junction,-123.2039804,49.2701267,0.0
107,1,Dead end,-123.2037718,49.23084108,0.0
108,3,Junction,-123.2031856,49.25819533,0.0
109,3,Junction,-123.2031318,49.24839728,0.0
110,4,Junction,-123.2031655,49.25919008,0.0
111,4,Junction,-123.2031335,49.26009417,0.0
112,3,Junction,-123.2029829,49.22983709,0.0
113,4,Junction,-123.2031022,49.26099824,0.0
114,4,Junction,-123.2030709,49.2619023,0.3116610814491425
115,4,Junction,-123.2030388,49.26280541,0.3887839180742268
116,4,Junction,-123.2030068,49.26372777,0.7219759974916198
117,4,Junction,-123.2029761,49.26461358,0.0
118,4,Junction,-123.2029469,49.26548038,0.0
119,3,Junction,-123.2028834,49.26718737,0.0
120,4,Junction,-123.202842,49.26825917,0.0
121,3,Junction,-123.202824,49.2687931,0.0
122,3,Junction,-123.2028202,49.26890723,0.0
123,3,Junction,-123.2027981,49.26950316,0.7471720943315961
124,3,Junction,-123.2027757,49.27010724,0.0
125,2,Junction,-123.2027336,49.2712415,0.0
126,3,Junction,-123.2027214,49.27156894,0.0
127,1,Dead end,-123.2025581,49.27596504,0.0
128,1,Dead end,-123.2022948,49.23565297,0.0
129,3,Junction,-123.2020121,49.23610261,0.0
130,3,Junction,-123.2016582,49.24897086,0.4129496711338881
131,3,Junction,-123.2014272,49.2688837,0.0
132,3,Junction,-123.2013426,49.26545624,0.3277227574378037
133,3,Junction,-123.2012139,49.24743532,0.2627125872502283
134,3,Junction,-123.2012031,49.26458632,0.5341302945552173
135,3,Junction,-123.2001506,49.22865336,0.0
136,2,Psudo,-123.2001655,49.23503577,0.0
137,3,Junction,-123.200161,49.25814911,0.0
138,4,Junction,-123.2001254,49.25914319,0.0
139,4,Junction,-123.2000918,49.26004774,0.0
140,4,Junction,-123.2000614,49.26095129,0.0
141,4,Junction,-123.2000291,49.2618559,0.598956006466161
142,4,Junction,-123.1999121,49.23544143,0.0
143,4,Junction,-123.1999993,49.26275953,0.5870367819374844
144,4,Junction,-123.1999666,49.26368251,0.0
145,1,Dead end,-123.1997605,49.22905358,0.0
146,1,Dead end,-123.1997495,49.23570141,0.0
147,3,Junction,-123.1997508,49.26543325,0.0
148,1,Dead end,-123.1993871,49.24910602,0.0
149,3,Junction,-123.1994522,49.26885026,0.0
150,1,Dead end,-123.1987155,49.23402645,0.0
151,1,Dead end,-123.1986729,49.25010432,0.0
152,2,Psudo,-123.1984723,49.22968969,0.0
153,3,Junction,-123.1983888,49.227188,0.0
154,4,Junction,-123.1983763,49.22834134,0.0
155,3,Junction,-123.1982732,49.23390745,0.0
156,3,Junction,-123.1982572,49.23454931,0.0
157,2,Junction,-123.1974255,49.2264886,0.4342313267918116
158,1,Dead end,-123.1973458,49.234393,0.0
159,2,Psudo,-123.197103,49.22764525,0.4898902730042049
160,3,Junction,-123.1970957,49.2283355,0.0
161,2,Psudo,-123.1970767,49.23004966,0.0
