JunctionID,StreetIntersectCount,JunctionType,x,y
1,2,Junction,-123.2247581,49.27476
2,1,Dead end,-123.2238652,49.27737087
3,1,Dead end,-123.2224918,49.27093693
4,4,Junction,-123.2208917,49.27116799
5,3,Junction,-123.2205669,49.27383219
6,3,Junction,-123.2196133,49.26895668
7,2,Junction,-123.2195723,49.26720284
8,2,Junction,-123.2153964,49.2583821
9,3,Junction,-123.2153603,49.25937754
10,3,Junction,-123.2153278,49.26028296
11,3,Junction,-123.2152949,49.26118749
12,3,Junction,-123.2152621,49.26209157
13,3,Junction,-123.2152295,49.26299562
14,3,Junction,-123.215196,49.26391861
15,3,Junction,-123.2151642,49.26480277
16,3,Junction,-123.2151333,49.26567697
17,3,Junction,-123.2151021,49.2665214
18,4,Junction,-123.2150712,49.26737487
19,3,Junction,-123.21504,49.26822667
20,4,Junction,-123.2150088,49.26909824
21,3,Junction,-123.214966,49.27027494
22,4,Junction,-123.214924,49.27143158
23,4,Junction,-123.2148808,49.2726088
24,5,Junction,-123.2148373,49.2737856
25,3,Junction,-123.2148151,49.27437714
26,3,Junction,-123.2147625,49.27582138
27,3,Junction,-123.2133887,49.27140907
28,3,Junction,-123.2131595,49.27375918
29,3,Junction,-123.212325,49.25833512
30,4,Junction,-123.2122887,49.25933056
31,4,Junction,-123.2122541,49.26023494
32,4,Junction,-123.2122209,49.26113913
33,4,Junction,-123.212189,49.26204353
34,4,Junction,-123.2121572,49.26294759
35,4,Junction,-123.212124,49.26387078
36,4,Junction,-123.2120915,49.26475542
37,4,Junction,-123.2120601,49.26562083
38,4,Junction,-123.2120289,49.26647397
39,4,Junction,-123.2119974,49.26732683
40,4,Junction,-123.2119666,49.26818061
41,4,Junction,-123.2119353,49.26905169
42,4,Junction,-123.2118932,49.2702283
43,5,Junction,-123.2118517,49.2713865
44,3,Junction,-123.211823,49.2721807
45,3,Junction,-123.211806,49.2726437
46,3,Junction,-123.2117945,49.27295946
47,4,Junction,-123.2117676,49.27373726
48,3,Junction,-123.2117464,49.27432911
49,4,Junction,-123.211725,49.27492003
50,1,Dead end,-123.2117015,49.2755743
51,3,Junction,-123.2108355,49.27137032
52,3,Junction,-123.2092816,49.25828874
53,4,Junction,-123.2092466,49.25928365
54,4,Junction,-123.2092148,49.26018819
55,4,Junction,-123.2091822,49.2610923
56,4,Junction,-123.2091499,49.26199577
57,4,Junction,-123.2091167,49.26289863
58,4,Junction,-123.2090842,49.26382357
59,3,Junction,-123.2090894,49.27018517
60,4,Junction,-123.2090532,49.26470851
61,4,Junction,-123.2090225,49.26557484
62,4,Junction,-123.208991,49.26642852
63,4,Junction,-123.2089606,49.26728017
64,4,Junction,-123.2089291,49.26813221
65,4,Junction,-123.2088978,49.26900603
66,3,Junction,-123.208876,49.26960359
67,4,Junction,-123.2088122,49.27133834
68,4,Junction,-123.2087851,49.27212187
69,3,Junction,-123.2087571,49.27290709
70,4,Junction,-123.2087279,49.27369025
71,4,Junction,-123.2087007,49.27443858
72,1,Dead end,-123.208682,49.27494842
73,1,Dead end,-123.2078672,49.26980589
74,1,Dead end,-123.2078031,49.27042309
75,3,Junction,-123.2076868,49.2689864
76,1,Dead end,-123.207064,49.23604706
77,3,Junction,-123.2062416,49.25824243
78,4,Junction,-123.2062065,49.25923691
79,4,Junction,-123.2061737,49.26014063
80,4,Junction,-123.2061431,49.26104407
81,4,Junction,-123.2061112,49.26194865
82,4,Junction,-123.2060781,49.26285266
83,4,Junction,-123.2060456,49.26377536
84,4,Junction,-123.2060142,49.26466081
85,4,Junction,-123.2059835,49.26552761
86,3,Junction,-123.2059527,49.2663799
87,4,Junction,-123.2059221,49.26723368
88,3,Junction,-123.2058899,49.26808627
