ID;Unit;Civic number - Parcel;Street name - Parcel;Business name;Retail category;Year recorded;Geo Local Area;Geom;geo_point_2d
1984;N/A;3504;W 4TH AV;Forerunners Enterprises;Comparison Goods;2020;Kitsilano;"{""coordinates"": [-123.18198147633284, 49.26829910736703], ""type"": ""Point""}";49.26829910736703, -123.18198147633284
1985;N/A;3510;W 4TH AV;Double DD Pizza;Food & Beverage;2020;Kitsilano;"{""coordinates"": [-123.1821886290571, 49.268302509426235], ""type"": ""Point""}";49.268302509426235, -123.1821886290571
1992;N/A;3570;W 4TH AV;Restore Human;Service Commercial;2020;Kitsilano;"{""coordinates"": [-123.1833630398489, 49.268321296539], ""type"": ""Point""}";49.268321296539, -123.1833630398489
1998;N/A;3598;W 4TH AV;Aphrodites Organic Pie Shop;Convenience Goods;2020;Kitsilano;"{""coordinates"": [-123.1833630398489, 49.268321296539], ""type"": ""Point""}";49.268321296539, -123.1833630398489
2001;N/A;3611;W 4TH AV;Vacant;Vacant;2020;Kitsilano;"{""coordinates"": [-123.18403436841272, 49.268860945244235], ""type"": ""Point""}";49.268860945244235, -123.18403436841272
2002;N/A;3615;W 4TH AV;Trulton Realty;Service Commercial;2020;Kitsilano;"{""coordinates"": [-123.18403436841272, 49.268860945244235], ""type"": ""Point""}";49.268860945244235, -123.18403436841272
2007;N/A;3629;W 4TH AV;Happy 3 Consignment Ltd;Comparison Goods;2020;Kitsilano;"{""coordinates"": [-123.18451808756963, 49.26886863466641], ""type"": ""Point""}";49.26886863466641, -123.18451808756963
2008;N/A;3630;W 4TH AV;Rugs & More;Comparison Goods;2020;Kitsilano;"{""coordinates"": [-123.18439961731059, 49.268352380423636], ""type"": ""Point""}";49.268352380423636, -123.18439961731059
2012;N/A;3642;W 4TH AV;Kestrel Books;Comparison Goods;2020;Kitsilano;"{""coordinates"": [-123.18467640301425, 49.2683571852624], ""type"": ""Point""}";49.2683571852624, -123.18467640301425
2014;N/A;3659;W 4TH AV;Vacant;Vacant;2020;Kitsilano;"{""coordinates"": [-123.18507120127674, 49.268877426184055], ""type"": ""Point""}";49.268877426184055, -123.18507120127674
2017;N/A;3662;W 4TH AV;Heritage Home Supplies;Comparison Goods;2020;Kitsilano;"{""coordinates"": [-123.18495301971518, 49.268361627201976], ""type"": ""Point""}";49.268361627201976, -123.18495301971518
2020;N/A;3669;W 4TH AV;Okanagan Wine Cellars;Convenience Goods;2020;Kitsilano;"{""coordinates"": [-123.18507120127674, 49.268877426184055], ""type"": ""Point""}";49.268877426184055, -123.18507120127674
2023;N/A;3680;W 4TH AV;Rebecca Bree;Convenience Goods;2020;Kitsilano;"{""coordinates"": [-123.18535470629834, 49.26835530754138], ""type"": ""Point""}";49.26835530754138, -123.18535470629834
2025;N/A;3686;W 4TH AV;Beyond Bread Artisan Bakery;Convenience Goods;2020;Kitsilano;"{""coordinates"": [-123.18535470629834, 49.26835530754138], ""type"": ""Point""}";49.26835530754138, -123.18535470629834
2026;N/A;3687;W 4TH AV;Lufficio Restaurant;Food & Beverage;2020;Kitsilano;"{""coordinates"": [-123.1853475211078, 49.268881828076594], ""type"": ""Point""}";49.268881828076594, -123.1853475211078
2030;N/A;3698;W 4TH AV;Blenz Coffee;Food & Beverage;2020;Kitsilano;"{""coordinates"": [-123.18535470629834, 49.26835530754138], ""type"": ""Point""}";49.26835530754138, -123.18535470629834
2031;N/A;3750;W 4TH AV;Breka Downtown Bakery Café;Food & Beverage;2020;West Point Grey;"{""coordinates"": [-123.18637769134192, 49.26819526630278], ""type"": ""Point""}";49.26819526630278, -123.18637769134192
2037;N/A;3288;DUNBAR ST;Preventum Skin;Service Commercial;2020;Dunbar-Southlands;"{""coordinates"": [-123.1846858158127, 49.25758668797599], ""type"": ""Point""}";49.25758668797599, -123.1846858158127
2040;N/A;3308;DUNBAR ST;Gold Star Shoe Rebuilders;Service Commercial;2020;Dunbar-Southlands;"{""coordinates"": [-123.18472586352902, 49.25721201260662], ""type"": ""Point""}";49.25721201260662, -123.18472586352902
2043;N/A;3323;DUNBAR ST;Vacant;Vacant;2020;Dunbar-Southlands;"{""coordinates"": [-123.18550178029385, 49.257113209959144], ""type"": ""Point""}";49.257113209959144, -123.18550178029385
2045;N/A;3336;DUNBAR ST;Mai's Dry Cleaner;Service Commercial;2020;Dunbar-Southlands;"{""coordinates"": [-123.18472794532526, 49.25698621394523], ""type"": ""Point""}";49.25698621394523, -123.18472794532526
2049;N/A;3352;DUNBAR ST;Visual Space Gallery;Comparison Goods;2020;Dunbar-Southlands;"{""coordinates"": [-123.18472794532526, 49.25698621394523], ""type"": ""Point""}";49.25698621394523, -123.18472794532526
2052;N/A;3368;DUNBAR ST;Sunflower Spa;Service Commercial;2020;Dunbar-Southlands;"{""coordinates"": [-123.18473082594468, 49.256735110440175], ""type"": ""Point""}";49.256735110440175, -123.18473082594468
2053;N/A;3378;DUNBAR ST;Vacant;Vacant;2020;Dunbar-Southlands;"{""coordinates"": [-123.18473082594468, 49.256735110440175], ""type"": ""Point""}";49.256735110440175, -123.18473082594468
2056;N/A;3393;DUNBAR ST;Vacant;Vacant;2020;Dunbar-Southlands;"{""coordinates"": [-123.18550630716342, 49.256711670412955], ""type"": ""Point""}";49.256711670412955, -123.18550630716342
2058;N/A;3420;DUNBAR ST;Vacant;Vacant;2020;Dunbar-Southlands;"{""coordinates"": [-123.18473444523634, 49.256257735433756], ""type"": ""Point""}";49.256257735433756, -123.18473444523634
2060;N/A;3432;DUNBAR ST;La Canapa;Convenience Goods;2020;Dunbar-Southlands;"{""coordinates"": [-123.18473538300822, 49.256167291473275], ""type"": ""Point""}";49.256167291473275, -123.18473538300822
2070;120;3479;DUNBAR ST;Johnston Meier Insurance;Service Commercial;2020;Dunbar-Southlands;"{""coordinates"": [-123.1855065407093, 49.25603288519235], ""type"": ""Point""}";49.25603288519235, -123.1855065407093
2071;N/A;3479;DUNBAR ST;Hillhouse Education;Service Commercial;2020;Dunbar-Southlands;"{""coordinates"": [-123.1855065407093, 49.25603288519235], ""type"": ""Point""}";49.25603288519235, -123.1855065407093
2073;N/A;3496;DUNBAR ST;Pan Fo Si Meditation;Entertainment and Leisure;2020;Dunbar-Southlands;"{""coordinates"": [-123.18474005117592, 49.255715062687216], ""type"": ""Point""}";49.255715062687216, -123.18474005117592
2074;N/A;4168;DUNBAR ST;Life Chiropractor;Service Commercial;2020;Dunbar-Southlands;"{""coordinates"": [-123.1848317929129, 49.24928649338968], ""type"": ""Point""}";49.24928649338968, -123.1848317929129
2076;N/A;4188;DUNBAR ST;Doggy Darecare;Service Commercial;2020;Dunbar-Southlands;"{""coordinates"": [-123.1848317929129, 49.24928649338968], ""type"": ""Point""}";49.24928649338968, -123.1848317929129
2084;N/A;4221;DUNBAR ST;Café Artigiano;Food & Beverage;2020;Dunbar-Southlands;"{""coordinates"": [-123.18562638889289, 49.24848461035401], ""type"": ""Point""}";49.24848461035401, -123.18562638889289
2086;N/A;4238;DUNBAR ST;Top Cut Barber;Service Commercial;2020;Dunbar-Southlands;"{""coordinates"": [-123.18485131297993, 49.24874770524774], ""type"": ""Point""}";49.24874770524774, -123.18485131297993
2091;N/A;4288;DUNBAR ST;Wild Sushi;Food & Beverage;2020;Dunbar-Southlands;"{""coordinates"": [-123.18484104240629, 49.24824725743236], ""type"": ""Point""}";49.24824725743236, -123.18484104240629
2094;N/A;4295;DUNBAR ST;Buntain Insurance;Service Commercial;2020;Dunbar-Southlands;"{""coordinates"": [-123.18562638889289, 49.24848461035401], ""type"": ""Point""}";49.24848461035401, -123.18562638889289
2095;N/A;4298;DUNBAR ST;Dominos Pizza;Food & Beverage;2020;Dunbar-Southlands;"{""coordinates"": [-123.18484104240629, 49.24824725743236], ""type"": ""Point""}";49.24824725743236, -123.18484104240629
2099;N/A;4315;DUNBAR ST;Enmark Jewellers Ltd.;Comparison Goods;2020;Dunbar-Southlands;"{""coordinates"": [-123.18553479185725, 49.247866948573304], ""type"": ""Point""}";49.247866948573304, -123.18553479185725
2101;N/A;4326;DUNBAR ST;Shoppers Drug Mart;Convenience Goods;2020;Dunbar-Southlands;"{""coordinates"": [-123.18484106674339, 49.24752684070252], ""type"": ""Point""}";49.24752684070252, -123.18484106674339
2108;N/A;4395;DUNBAR ST;Bank of Montreal;Service Commercial;2020;Dunbar-Southlands;"{""coordinates"": [-123.1855587908832, 49.247299456380226], ""type"": ""Point""}";49.247299456380226, -123.1855587908832
2117;N/A;4497;DUNBAR ST;The Dunbar;Food & Beverage;2020;Dunbar-Southlands;"{""coordinates"": [-123.18567067500143, 49.24644160238141], ""type"": ""Point""}";49.24644160238141, -123.18567067500143
2123;N/A;4555;DUNBAR ST;Dunbar Theatre;Entertainment and Leisure;2020;Dunbar-Southlands;"{""coordinates"": [-123.18560056814317, 49.24555580730466], ""type"": ""Point""}";49.24555580730466, -123.18560056814317
2130;N/A;5520;DUNBAR ST;Elite Montessori;Service Commercial;2020;Dunbar-Southlands;"{""coordinates"": [-123.18502320602808, 49.23606979171254], ""type"": ""Point""}";49.23606979171254, -123.18502320602808
2144;N/A;5640;DUNBAR ST;Andrew Wilkinson MLA;Service Commercial;2020;Dunbar-Southlands;"{""coordinates"": [-123.18496584702586, 49.23519562939841], ""type"": ""Point""}";49.23519562939841, -123.18496584702586
2151;N/A;3636;W 16TH AV;Prime Personal Training;Entertainment and Leisure;2020;Dunbar-Southlands;"{""coordinates"": [-123.18594615572123, 49.25760592394863], ""type"": ""Point""}";49.25760592394863, -123.18594615572123
2157;N/A;3502;W 41ST AV;Bosley's Pet Food;Comparison Goods;2020;Dunbar-Southlands;"{""coordinates"": [-123.18249200185862, 49.234467269080305], ""type"": ""Point""}";49.234467269080305, -123.18249200185862
2159;N/A;3516;W 41ST AV;30 Minute Hit;Entertainment and Leisure;2020;Dunbar-Southlands;"{""coordinates"": [-123.18249200185862, 49.234467269080305], ""type"": ""Point""}";49.234467269080305, -123.18249200185862
2163;N/A;3535;W 41ST AV;Save on Foods;Convenience Goods;2020;Dunbar-Southlands;"{""coordinates"": [-123.1844283039008, 49.235082831970765], ""type"": ""Point""}";49.235082831970765, -123.1844283039008
2164;N/A;3536;W 41ST AV;Da Future Studio;Service Commercial;2020;Dunbar-Southlands;"{""coordinates"": [-123.18371473408153, 49.234493210944315], ""type"": ""Point""}";49.234493210944315, -123.18371473408153
2165;N/A;3548;W 41ST AV;Educational Book Supply;Comparison Goods;2020;Dunbar-Southlands;"{""coordinates"": [-123.18371473408153, 49.234493210944315], ""type"": ""Point""}";49.234493210944315, -123.18371473408153
2169;N/A;3556;W 41ST AV;Busy Bee Dry Cleaning;Service Commercial;2020;Dunbar-Southlands;"{""coordinates"": [-123.18371473408153, 49.234493210944315], ""type"": ""Point""}";49.234493210944315, -123.18371473408153
2173;N/A;3579;W 41ST AV;Southlands Dental Group;Service Commercial;2020;Dunbar-Southlands;"{""coordinates"": [-123.18488032341041, 49.23495748738697], ""type"": ""Point""}";49.23495748738697, -123.18488032341041
