StreetID,hblock,streetName,PseudoJunctionCount,pseudoJunctionID1,pseudoJunctionID2,adjustJunctionID1,adjustJunctionID2,adjustStreetID1,adjustStreetID2,streetType,PropertyCount,Avg_CURRENT_LAND_VALUE,SD_CURRENT_LAND_VALUE,Avg_CURRENT_IMPROVEMENT_VALUE,SD_CURRENT_IMPROVEMENT_VALUE,Avg_ASSESSMENT_YEAR,SD_ASSESSMENT_YEAR,Avg_PREVIOUS_LAND_VALUE,SD_PREVIOUS_LAND_VALUE,Avg_PREVIOUS_IMPROVEMENT_VALUE,SD_PREVIOUS_IMPROVEMENT_VALUE,Avg_YEAR_BUILT,SD_YEAR_BUILT,Avg_BIG_IMPROVEMENT_YEAR,SD_BIG_IMPROVEMENT_YEAR,Avg_ALL24,Avg_ALL8_9,Avg_ALL10_16,Avg_ALL17_18,Shape_Length,Landuse,latitude,longitude
1,0-100 E 24TH AV,E 24TH AV,0,0,0,3029,3218,,, Residential,38.0,900526.3158,167557.612,125052.6316,111532.6755,2013.0,0.0,941473.6842,167042.111,124268.4211,105402.6055,1930.973684,31.35540545,1974.473684,17.40415738,0.0,0.0,0.0,0.0,286.5226194,"S110, S110, S110, S110, S200, S200, S230, S230, S400, ",49.249539,-123.103014
2,0-100 E 58TH AV,E 58TH AV,0,0,0,2977,3168,,, Residential,47.0,815340.4255,81010.80889,161559.5745,136841.1339,2013.0,0.0,820787.234,82483.71016,134791.4894,111986.0469,1974.744681,23.56625082,1977.404255,21.6590774,0.0,0.0,0.0,0.0,313.1281859,"R100, S110, S110, S110, S110, S110, S110, S110, S400, U100, ",49.21767,-123.104161
3,0-100 E 59TH AV,E 59TH AV,0,0,0,2974,3166,,, Residential,45.0,798511.1111,34648.64042,160488.8889,132707.5103,2013.0,0.0,806222.2222,38583.96328,145762.2222,116568.2404,1970.8,33.57190384,1981.822222,21.5325218,844.8333333,129.5,349.6666667,139.0,312.7883945,"S110, S110, S110, S110, S110, S110, S110, S110, S110, S400, ",49.216787,-123.104138
4,0-100 E 60TH AV,E 60TH AV,0,0,0,2973,3165,,, Residential,54.0,831641.5094,114522.6035,161073.5849,190537.1114,2013.0,0.0,831094.3396,111832.6814,146639.6226,173024.6085,1970.5,28.41474897,1976.82,21.45302414,,,,,314.0503395,"S110, S110, S110, S110, S110, S110, S110, S110, S110, S400, ",49.215889,-123.104056
5,0-100 E 61ST AV,E 61ST AV,0,0,0,2971,3159,,, Residential,42.0,799357.1429,108323.0988,139290.4762,127836.1009,2013.0,0.0,801309.5238,112392.7105,126852.381,112141.7618,1971.571429,26.18055772,1975.52381,21.5284702,0.0,0.0,0.0,0.0,315.7574276,"S110, S110, S110, S110, S110, S110, S110, S110, S110, S110, ",49.215054,-123.104479
6,0-100 E 62ND AV,E 62ND AV,0,0,0,2969,3156,,, Residential,55.0,803680.8511,70139.02542,151427.6596,125285.3954,2013.0,0.0,811893.617,67689.90485,138010.6383,108193.9869,1976.06383,24.05013265,1979.617021,20.28551978,261.75,34.125,108.75,31.875,317.4617711,"S110, S110, S110, S110, S110, S110, S110, S110, S110, ",49.214183,-123.104307
7,0-100 E 63RD AV,E 63RD AV,0,0,0,2966,3151,,, Residential,45.0,828909.0909,111450.8585,184779.5455,145735.8467,2013.0,0.0,828159.0909,112495.7763,145813.6364,128251.063,1978.355556,25.77362602,1982.555556,21.30466824,268.8333333,31.5,103.4166667,44.58333333,319.1593095,"S110, S110, S110, S110, S110, S110, S110, S110, S110, ",49.213314,-123.104315
8,0-100 E 64TH AV,E 64TH AV,0,0,0,3006,3148,,, Residential,37.0,765837.8378,108659.129,152702.7027,145175.4561,2013.0,0.0,776243.2432,97779.06087,118348.6486,106941.9199,1970.837838,27.8991373,1979.0,17.76544711,,,,,281.4633859,"S110, S110, S110, S110, S110, S110, S230, S300, U100, ",49.212443,-123.104434
9,0-100 E 69TH AV,E 69TH AV,0,0,0,2954,3142,,, Residential,4.0,6783750.0,4625509.296,994225.0,1209477.161,2013.0,0.0,6989750.0,4904979.604,747350.0,829785.4883,1969.75,10.04572878,1973.5,5.196152423,0.0,0.0,0.0,0.0,319.9569689,"S200, S200, S300, S300, S300, S300, S300, ",49.209352,-123.102898
10,0-100 E KENT AV NORTH,E KENT AV NORTH,0,0,0,2949,3140,,, Secondary Arterial,1.0,11531000.0,,1571000.0,,2013.0,,12138000.0,,418700.0,,1957.0,,1970.0,,,,,,323.2788046,"S300, S300, S300, S700, ",49.208365,-123.088889
11,0-100 E KENT AV SOUTH,E KENT AV SOUTH,0,0,0,2948,3137,,, Secondary Arterial,,,,,,,,,,,,,,,,524.875,106.25,250.5,112.625,322.7863126,"S300, S300, S700, ",49.2048925,-123.0333525
12,0-100 SE MARINE DRIVE,SE MARINE DRIVE,0,0,0,3006,3143,,, Arterial,1.0,21411000.0,,235000.0,,2013.0,,22538000.0,,229000.0,,1954.0,,1982.0,,,,,,266.973772,"S110, S200, S200, S200, S300, ",49.211748,-123.104429
13,0-100 SW MARINE DRIVE,SW MARINE DRIVE,0,0,0,2852,2961,,, Arterial,34.0,919029.4118,949011.5906,119220.5882,161465.9787,2013.0,0.0,904882.3529,1012767.488,89420.58824,88437.10239,1960.235294,28.77189161,1971.970588,18.35258267,,,,,252.3066409,"S110, S110, S110, S200, S200, S300, ",49.212277,-123.106525
14,0-100 W 59TH AV,W 59TH AV,0,0,0,2867,2974,,, Residential,21.0,965380.9524,83014.14108,173409.5238,117762.8503,2013.0,0.0,915285.7143,72503.2019,173780.9524,114884.7058,1975.333333,19.02454555,1979.238095,14.79494766,1876.166667,294.8333333,800.8333333,332.3333333,259.2343185,"R100, S110, S110, S110, S110, S131, S400, ",49.216838,-123.107883
15,0-100 W 60TH AV,W 60TH AV,0,0,0,2863,2973,,, Residential,31.0,1086064.516,53664.97025,60412.90323,63873.98397,2013.0,0.0,1018451.613,45610.55339,67719.35484,62723.66071,1960.83871,7.840479467,1963.322581,7.884106784,,,,,257.4599019,"S110, S110, S110, S110, S110, S110, S131, ",49.215981,-123.108246
16,0-100 W 61ST AV,W 61ST AV,0,0,0,2860,2971,,, Residential,34.0,1064235.294,113644.3306,225997.0588,334047.2217,2013.0,0.0,1005470.588,99561.83865,164635.2941,290861.1122,1971.117647,25.47936147,1975.264706,20.96361758,,,,,255.3641901,"S110, S110, S110, S110, S110, S110, S131, S410, ",49.215106,-123.108316
17,0-100 W 62ND AV,W 62ND AV,0,0,0,2858,2969,,, Residential,39.0,1037615.385,67689.15617,99958.97436,137546.2654,2013.0,0.0,977820.5128,58215.5124,96517.94872,134289.7454,1966.666667,19.3136621,1971.102564,15.97661922,,,,,253.262201,"S110, S110, S110, S110, S110, S110, S110, S410, ",49.214234,-123.108202
