StrID,streetName,StartX,StartY,MidX,MidY,EndX,EndY,DeadEndX,DeadEndY
473,E 14TH AV,-123.083382672,49.2578541329,-123.082414504,49.2578465434,-123.081446337,49.2578389539,0,0
114,KINGSWAY,-123.100879699,49.2644425294,-123.100548329,49.2640609533,-123.100216958,49.2636793773,0,0
123,N KAMLOOPS ST,-123.054563963,49.2847840707,-123.054562976,49.285236307,-123.054562307,49.2856885439,0,0
483,E 28TH AV,-123.083933636,49.2454491593,-123.083311414,49.2454460234,-123.082689191,49.2454428875,0,0
214,W PENDER ST,-123.104371048,49.2804936864,-123.104640122,49.2805425024,-123.104909197,49.2805913185,0,0
29,DRAKE ST,-123.120247325,49.2712130056,-123.12081763,49.271583416,-123.121387936,49.2719538265,-123.12024732,49.27121301
216,W PENDER ST,-123.105590878,49.2807148041,-123.106574072,49.2808936953,-123.107557267,49.2810725817,0,0
184,W 23RD AV,-123.104925485,49.249908612,-123.106156348,49.2499317371,-123.107387212,49.2499548622,0,0
240,E 11TH AV,-123.103024531,49.2611358148,-123.102022734,49.261117513,-123.101020934,49.2610993913,0,0
210,W BROADWAY,-123.104880324,49.2629999591,-123.105847448,49.2630228835,-123.106814571,49.2630458078,0,0
438,NOOTKA ST,-123.041373549,49.2753722971,-123.041390479,49.2743126931,-123.041409004,49.2732531173,0,0
436,LE ROI ST,-123.040110434,49.2753712034,-123.040127588,49.2743118558,-123.04014538,49.2732525189,0,0
77,E 4TH AV,-123.104698146,49.2673801678,-123.103730751,49.2673625912,-123.102763356,49.2673450146,0,0
223,ABBOTT ST,-123.106172153,49.2843298376,-123.106270011,49.2841045984,-123.106367869,49.2838793592,-123.10617215,49.28432984
340,PRIOR ST,-123.102117681,49.2768020081,-123.100974832,49.2767822592,-123.099832014,49.2767607836,0,0
292,E 6TH AV,-123.10283854,49.2655369221,-123.101837065,49.2655187426,-123.10083559,49.2655006018,0,0
428,W 46TH AV,-123.128216598,49.2292968055,-123.130100975,49.2293624346,-123.131985352,49.2294280477,0,0
472,E 13TH AV,-123.083363623,49.2587591739,-123.082395705,49.2587512153,-123.081427787,49.2587432567,0,0
427,W 45TH AV,-123.128185609,49.2302140776,-123.130069556,49.2302780568,-123.131953503,49.2303420205,0,0
