stop_lat,stop_code,stop_lon,stop_id,stop_name,zone_id
49.277974,61522,-123.127034,11542,Southbound Howe St @ Davie St,BUS ZN
49.219164,51114,-123.150433,11541,Southbound West Blvd @ W 57 Ave,BUS ZN
49.266827,50268,-123.241849,271,Eastbound University Blvd @ Allison Rd,BUS ZN
49.265327,50270,-123.235217,273,Eastbound University Blvd @ 5300 Block,BUS ZN
49.263486,50271,-123.229095,274,Eastbound University Blvd @ 5100 Block,BUS ZN
49.264289,50272,-123.215067,275,Northbound Blanca St @ W 10 Ave,BUS ZN
49.265243,50273,-123.21585,276,Blanca Loop @ Bay 1,BUS ZN
49.263836,50274,-123.214641,277,Eastbound W 10 Ave @ Blanca St,BUS ZN
49.26381,50275,-123.211737,278,Eastbound W 10 Ave @ Tolmie St,BUS ZN
49.263764,50276,-123.208525,279,Eastbound W 10 Ave @ Sasamat St,BUS ZN
49.207179,52126,-123.123861,2146,Eastbound SW Marine Dr @ Heather St,BUS ZN
49.263228,61896,-123.256272,12011,Southbound Lower Mall @ University Blvd,BUS ZN
49.25836,61833,-123.244207,12013,Northbound East Mall @ Eagles Dr,BUS ZN
49.251694,61893,-123.237733,12012,Westbound Ross Dr @ Birney Ave,BUS ZN
49.278914,50098,-123.12964,98,Southbound Burrard St @ Davie St,BUS ZN
49.280707,50091,-123.104998,91,Westbound W Pender St @ Carrall St,BUS ZN
49.28129,50093,-123.108213,93,Westbound W Pender St @ Abbott St,BUS ZN
49.283818,50095,-123.113429,95,Westbound W Pender St @ Seymour St,BUS ZN
49.285523,50097,-123.116055,97,Westbound W Pender St @ Howe St,BUS ZN
49.284575,50096,-123.114596,96,Westbound W Pender St @ Granville St,BUS ZN
49.23266,51170,-123.019689,1179,Westbound Kingsway @ Smith Ave,BUS ZN
49.232908,51169,-123.016178,1178,Westbound Kingsway @ Inman Ave,BUS ZN
49.205733,50866,-123.140764,873,Southbound Granville St @ SW Marine Dr,BUS ZN
49.211828,50863,-123.140547,870,Southbound Granville St @ W 65 Ave,BUS ZN
49.286053,57944,-123.11158,8019,Waterfront Station Eastbound,WCE1Z
49.266503,57938,-123.237822,8013,Eastbound University Blvd @ Acadia Rd,BUS ZN
49.268471,50389,-123.181214,393,Eastbound W 4th Ave @ Collingwood St,BUS ZN
49.234268,50388,-123.140768,392,Eastbound W 41 Ave @ Granville St,BUS ZN
49.2343,50386,-123.142893,390,Eastbound W 41 Ave @ Adera St,BUS ZN
49.268274,50393,-123.167779,397,Eastbound W 4th Ave @ Macdonald St,BUS ZN
49.268236,50394,-123.164123,398,Eastbound W 4th Ave @ Trafalgar St,BUS ZN
49.249172,61372,-123.115228,11281,King Edward Station @ Platform 1,ZN 1
49.249186,61371,-123.115716,11280,King Edward Station @ Platform 2,ZN 1
49.233731,61374,-123.116176,11283,Oakridge-41st Avenue Station @ Platform 1,ZN 1
49.233747,61373,-123.116422,11282,Oakridge-41st Avenue Station @ Platform 2,ZN 1
49.225709,61376,-123.116289,11285,Langara-49th Avenue Station @ Platform 1,ZN 1
49.225743,61375,-123.116752,11284,Langara-49th Avenue Station @ Platform 2,ZN 1
49.209663,61378,-123.116921,11287,Marine Drive Station @ Platform 1,ZN 1
49.209661,61377,-123.117078,11286,Marine Drive Station @ Platform 2,ZN 1
49.254064,61579,-123.23498,11759,Southbound Wesbrook Mall @ Birney Ave,BUS ZN
49.247646,61581,-123.232002,11758,Southbound Wesbrook Mall @ Triumf Centre,BUS ZN
49.269455,50179,-123.100505,179,Northbound Main St @ E 2nd Ave,BUS ZN
49.266719,50178,-123.100662,178,Northbound Main St @ E 5th Ave,BUS ZN
49.265339,50177,-123.100685,177,Northbound Main St @ E 6th Ave,BUS ZN
49.263233,50176,-123.100792,176,Northbound Main St @ E Broadway,BUS ZN
49.260528,50174,-123.100888,174,Northbound Main St @ E 12 Ave,BUS ZN
49.258782,59582,-123.100989,173,Northbound Main St @ E 14 Ave,BUS ZN
49.255006,59835,-123.100984,171,Northbound Main St @ E 18 Ave,BUS ZN
49.253226,59836,-123.100763,170,Northbound Main St @ E 20 Ave,BUS ZN
49.284576,59832,-123.117067,10399,Southbound Howe St @ Dunsmuir St,BUS ZN
49.225896,51968,-123.112498,1985,Eastbound W 49 Ave @ Alberta St,BUS ZN
49.232733,60402,-123.066544,12667,Westbound E 41 Ave @ Victoria Dr,BUS ZN
49.232982,60399,-123.102441,12664,Eastbound E 41 Ave @ Main St,BUS ZN
49.283253,51746,-123.031278,1760,Northbound Cassiar Connector @ 100 Block,BUS ZN
49.254756,50685,-123.056762,692,Southbound Nanaimo St @ E 17 Ave,BUS ZN
49.252026,50686,-123.056768,693,Southbound Nanaimo St @ E 20 Ave,BUS ZN
49.250553,51532,-123.043474,1544,Eastbound E 22 Ave @ Boyd Diversion,BUS ZN
49.250535,51533,-123.038654,1545,Eastbound E 22 Ave @ Lillooet St,BUS ZN
49.250567,51530,-123.049111,1542,Eastbound E 22 Ave @ Slocan St,BUS ZN
49.250547,50690,-123.055999,697,Eastbound E 22 Ave @ Nanaimo St,BUS ZN
49.250268,50687,-123.056774,694,Southbound Nanaimo St @ E 22 Ave,BUS ZN
49.248412,50688,-123.055476,695,Nanaimo Station @ Bay 3,BUS ZN
49.264156,52095,-123.167544,11113,Westbound W Broadway @ Macdonald St,BUS ZN
49.24424,50692,-123.050004,699,Southbound Slocan St @ E 29 Ave,BUS ZN
49.24878,51537,-123.023043,1549,Eastbound Kincaid St @ Boundary Rd,BUS ZN
49.254485,61580,-123.235195,11760,Northbound Wesbrook Mall @ Birney Ave,BUS ZN
49.278573,58721,-123.130164,11563,Southbound Burrard St @ Burnaby St,BUS ZN
49.257067,50362,-123.185245,366,Southbound Dunbar St @ W 17 Ave,BUS ZN
49.228145,50256,-123.101625,258,Southbound Main St @ E 46 Ave,BUS ZN
49.258657,50361,-123.184116,365,Southbound Dunbar St @ W 15 Ave,BUS ZN
49.23788,50250,-123.101715,252,Southbound Main St @ E 36 Ave,BUS ZN
49.243003,50248,-123.101498,250,Southbound Main St @ E 30 Ave,BUS ZN
49.240211,50249,-123.101629,251,Southbound Main St @ E 33 Ave,BUS ZN
49.232735,59041,-123.101636,256,Southbound Main St @ E 41 Ave,BUS ZN
49.230612,50255,-123.101591,257,Southbound Main St @ E 43 Ave,BUS ZN
49.232967,50253,-123.101913,255,Eastbound E 41 Ave @ Main St,BUS ZN
49.20149,61670,-123.018581,12030,Westbound North Fraser Way @ Fraserwood Court,BUS ZN
49.285131,61917,-123.115432,12036,Westbound W Pender St @ Howe St,BUS ZN
49.285687,61925,-123.111773,12034,Waterfront Station,ZN 1
49.26367,50357,-123.186028,361,Southbound Alma St @ W 10 Ave,BUS ZN
49.211303,58762,-123.091221,10439,Southbound Fraser St @ SE Marine Dr,BUS ZN
49.287718,59576,-123.023214,10180,Northbound N Boundary Rd @ Eton St,BUS ZN
49.234792,51150,-123.037515,1159,Eastbound Kingsway @ McKinnon St,BUS ZN
49.235786,51149,-123.041963,1158,Eastbound Kingsway @ Rupert St,BUS ZN
49.246687,51145,-123.06866,1154,Eastbound Kingsway @ Miller St,BUS ZN
49.236159,51148,-123.045333,1157,Eastbound Kingsway @ Killarney St,BUS ZN
49.23728,51147,-123.048397,1156,Eastbound Kingsway @ Earles St,BUS ZN
49.249736,51142,-123.075484,1151,Eastbound Kingsway @ Knight St,BUS ZN
49.250834,51141,-123.077633,1150,Eastbound Kingsway @ Clark Dr,BUS ZN
49.247719,51144,-123.070924,1153,Eastbound Kingsway @ Perry St,BUS ZN
49.24866,51143,-123.072988,1152,Eastbound Kingsway @ Dumfries St,BUS ZN
49.286063,57960,-123.111306,8035,Waterfront Station Northbound,ZN 1
49.286116,57959,-123.111512,8034,Waterfront Station Unload Only,WCE1Z
49.285907,57964,-123.111578,8039,Waterfront Station @ Platform 2,ZN 1
49.286137,57963,-123.111403,8038,Waterfront Station Southbound,ZN 1
49.279676,60342,-123.112876,12581,Southbound Cambie St @ W Georgia St,BUS ZN
49.233415,50137,-123.115623,12585,Eastbound W 41 Ave @ Cambie St,BUS ZN
49.275543,59393,-123.132974,10047,Westbound Beach Ave @ Hornby St,BUS ZN
49.25498,59940,-123.24893,10433,Westbound Stadium Rd @ West Mall,BUS ZN
49.281495,58042,-123.026062,8139,Kootenay Loop @ Bay 2,BUS ZN
49.225975,50151,-123.10147,151,Northbound Main St @ E 49 Ave,BUS ZN
49.223638,50150,-123.101593,150,Northbound Main St @ E 51 Ave,BUS ZN
49.228719,59842,-123.101386,152,Northbound Main St @ E 46 Ave,BUS ZN
49.233445,50155,-123.101394,155,Northbound Main St @ E 41 Ave,BUS ZN
49.231454,50154,-123.101306,154,Northbound Main St @ E 43 Ave,BUS ZN
49.233269,50157,-123.106197,157,Westbound W 41 Ave @ Ontario St,BUS ZN
49.233442,50158,-123.11122,158,Westbound W 41 Ave @ Columbia St,BUS ZN
49.265799,60825,-123.079054,10374,VCC-Clark Station @ Platform 2,ZN 1
49.265873,60824,-123.079049,10375,VCC-Clark Station @ Platform 1,ZN 1
49.203898,59783,-123.023178,10371,Northbound Boundary Rd @ E Kent Ave North,BUS ZN
49.274765,60014,-123.116234,10513,Westbound Expo Blvd @ Nelson St,BUS ZN
49.261831,50683,-123.056764,690,Southbound Nanaimo St @ E Broadway,BUS ZN
49.260804,58130,-123.033608,8860,Rupert Station @ Bay 1,BUS ZN
49.218926,50811,-123.128765,818,Southbound Oak St @ W 57 Ave,BUS ZN
49.216857,50812,-123.129581,819,Southbound Oak St @ W 59 Ave,BUS ZN
49.2338,50804,-123.126888,811,Eastbound W 41 Ave @ Oak St,BUS ZN
49.233541,50805,-123.128231,812,Southbound Oak St @ W 41 Ave,BUS ZN
49.231779,50806,-123.128278,813,Southbound Oak St @ W 43 Ave,BUS ZN
49.229046,50807,-123.128376,814,Southbound Oak St @ W 46 Ave,BUS ZN
49.22616,50808,-123.128478,815,Southbound Oak St @ W 49 Ave,BUS ZN
49.221231,50810,-123.128635,817,Southbound Oak St @ W 54 Ave,BUS ZN
49.270822,51687,-123.033606,1701,Northbound Rupert St @ Graveley St,BUS ZN
49.274384,51689,-123.03354,1703,Northbound Rupert St @ William St,BUS ZN
49.27613,51690,-123.03352,1704,Northbound Rupert St @ Parker St,BUS ZN
49.277384,51692,-123.029097,1706,Eastbound Adanac St @ Skeena St,BUS ZN
49.278725,51694,-123.023311,1708,Northbound Boundary Rd @ Georgia St,BUS ZN
49.281408,51695,-123.026254,1709,Kootenay Loop @ Bay 3,BUS ZN
49.282683,52991,-123.023697,3022,Southbound Boundary Rd @ Pandora St,BUS ZN
49.284524,52990,-123.023659,3021,Southbound Boundary Rd @ Dundas St,BUS ZN
49.286231,52989,-123.023627,3020,Southbound N Boundary Rd @ Cambridge St,BUS ZN
49.244095,50339,-123.127861,343,Southbound Oak St @ Devonshire Cres,BUS ZN
49.23952,61825,-123.055375,12050,Northbound Clarendon St @ E 33 Ave,BUS ZN
49.267419,61935,-123.246831,12057,UBC Exchange @ Bay 7,BUS ZN
49.274506,50232,-123.100141,234,Southbound Main St @ National Ave,BUS ZN
49.273072,50233,-123.100189,235,Main Street-Science World Station @ Bay 1,BUS ZN
49.270621,50234,-123.100821,236,Southbound Main St @ Switchmen St,BUS ZN
49.282229,50228,-123.099988,230,Eastbound E Cordova St @ Main St,BUS ZN
49.28081,50229,-123.099812,231,Southbound Main St @ E Hastings St,BUS ZN
49.279029,50230,-123.099896,232,Southbound Main St @ Keefer St,BUS ZN
49.248429,51525,-123.075675,1537,Eastbound E King Edward Ave @ Knight St,BUS ZN
49.283054,50931,-123.110546,939,Eastbound W Hastings St @ Homer St,BUS ZN
49.284334,50930,-123.112551,938,Eastbound W Hastings St @ Seymour St,BUS ZN
49.26336,50924,-123.118098,932,Westbound W Broadway @ Ash St,BUS ZN
49.226003,51967,-123.11584,10745,Langara-49th Station @ Bay 3,BUS ZN
49.263433,50926,-123.122318,934,Westbound W Broadway @ Willow St,BUS ZN
49.26604,51740,-123.023373,1754,Northbound Boundary Rd @ Lougheed Hwy,BUS ZN
49.232478,50790,-123.090705,797,Southbound Fraser St @ E 41 Ave,BUS ZN
49.234521,50789,-123.090651,796,Southbound Fraser St @ E 39 Ave,BUS ZN
49.236049,50788,-123.090613,795,Southbound Fraser St @ E 37 Ave,BUS ZN
49.238045,50787,-123.090514,794,Southbound Fraser St @ E 35 Ave,BUS ZN
49.239976,50786,-123.090476,793,Southbound Fraser St @ E 33 Ave,BUS ZN
49.242261,58954,-123.090417,792,Southbound Fraser St @ E 31 Ave,BUS ZN
49.244247,50784,-123.090388,791,Southbound Fraser St @ E 29 Ave,BUS ZN
