TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2022,1,3,16,19,10XX ALBERNI ST,West End,491036.0799,5459145.9182
Break and Enter Commercial,2022,3,15,5,14,10XX ALBERNI ST,West End,491102.2439,5459092.4351
Break and Enter Commercial,2022,3,19,6,42,10XX ALBERNI ST,West End,491102.2439,5459092.4351
Break and Enter Commercial,2022,2,23,23,0,10XX BALFOUR AVE,Shaughnessy,490699.8049,5455444.0767
Break and Enter Commercial,2022,2,25,10,15,10XX BALFOUR AVE,Shaughnessy,490699.8049,5455444.0767
Break and Enter Commercial,2022,4,30,22,45,10XX BALFOUR AVE,Shaughnessy,490699.8049,5455444.0767
Break and Enter Commercial,2022,1,20,11,9,10XX BROUGHTON ST,West End,490247.1512,5459171.0415
Break and Enter Commercial,2022,1,11,3,3,10XX BROUGHTON ST,West End,490247.4903,5459171.3852
Break and Enter Commercial,2022,6,14,13,35,10XX BUTE ST,West End,490409.1263,5458906.3199
Break and Enter Commercial,2022,2,13,6,22,10XX CANADA PL,Central Business District,491493.3146,5459541.9753
Break and Enter Commercial,2022,1,7,6,2,10XX CANADA PL,Central Business District,491493.3778,5459541.9474
Break and Enter Commercial,2022,5,5,21,30,10XX CARDERO ST,West End,490097.1582,5459358.9589
Break and Enter Commercial,2022,4,3,0,0,10XX CLARK DR,Grandview-Woodland,494382.6035,5458098.4078
Break and Enter Commercial,2022,5,27,3,30,10XX DAVIE ST,West End,490460.8154,5458623.2441
Break and Enter Commercial,2022,2,2,0,24,10XX DAVIE ST,West End,490512.2892,5458572.4873
Break and Enter Commercial,2022,6,15,5,0,10XX DAVIE ST,West End,490529.3655,5458568.4908
Break and Enter Commercial,2022,6,20,4,14,10XX DAVIE ST,West End,490529.3655,5458568.4908
Break and Enter Commercial,2022,2,26,18,16,10XX DUNSMUIR ST,Central Business District,491237.7903,5459258.9505
Break and Enter Commercial,2022,1,21,3,30,10XX DUNSMUIR ST,Central Business District,491238.7326,5459258.6928
Break and Enter Commercial,2022,1,26,21,59,10XX DUNSMUIR ST,Central Business District,491238.7326,5459258.6928
Break and Enter Commercial,2022,1,20,22,0,10XX E 12TH AVE,Mount Pleasant,493942.0396,5456323.9102
Break and Enter Commercial,2022,1,25,21,0,10XX E 50TH AVE,Sunset,493883.5176,5452404.9326
Break and Enter Commercial,2022,3,23,13,37,10XX E BROADWAY AVE,Mount Pleasant,493947.3834,5456638.568
Break and Enter Commercial,2022,4,30,10,0,10XX E KENT AVE N,Sunset,493848.7416,5450670.2985
Break and Enter Commercial,2022,6,8,3,17,10XX GILFORD ST,West End,489762.5451,5459711.0275
Break and Enter Commercial,2022,1,31,4,45,10XX HARWOOD ST,West End,490369.9867,5458403.2681
Break and Enter Commercial,2022,3,17,3,39,10XX HOMER ST,Central Business District,491255.8833,5458279.1811
Break and Enter Commercial,2022,5,18,23,30,10XX HOMER ST,Central Business District,491258.1894,5458294.586
Break and Enter Commercial,2022,2,17,10,1,10XX HOWE ST,Central Business District,490891.0561,5458484.3504
Break and Enter Commercial,2022,5,13,14,5,10XX KINGSWAY AVE,Kensington-Cedar Cottage,493911.5598,5455681.4963
Break and Enter Commercial,2022,4,5,22,18,10XX LAURIER AVE,Shaughnessy,490704.3405,5455350.0258
Break and Enter Commercial,2022,1,2,9,0,10XX MAIN ST,Central Business District,492723.7706,5458103.8792
Break and Enter Commercial,2022,1,4,13,55,10XX MAINLAND ST,Central Business District,491259.565,5458118.3129
Break and Enter Commercial,2022,1,18,5,42,10XX MAINLAND ST,Central Business District,491279.0572,5458138.529
Break and Enter Commercial,2022,5,17,17,30,10XX MAINLAND ST,Central Business District,491279.6573,5458139.1521
Break and Enter Commercial,2022,4,8,6,20,10XX MAINLAND ST,Central Business District,491294.1327,5458167.3383
Break and Enter Commercial,2022,6,22,18,36,10XX MAINLAND ST,Central Business District,491323.2043,5458184.3174
Break and Enter Commercial,2022,5,21,14,24,10XX MARINASIDE CRES,Central Business District,491363.3924,5457865.2988
Break and Enter Commercial,2022,6,4,18,40,10XX MARINASIDE CRES,Central Business District,491363.3924,5457865.2988
Break and Enter Commercial,2022,6,18,12,30,10XX MARINASIDE CRES,Central Business District,491545.474,5457835.8202
Break and Enter Commercial,2022,6,4,12,5,10XX PACIFIC BLVD,Central Business District,491363.9003,5457969.3513
Break and Enter Commercial,2022,1,8,8,30,10XX PARKER ST,Strathcona,494080.0022,5458126.7591
Break and Enter Commercial,2022,1,22,20,15,10XX PARKER ST,Strathcona,494080.0022,5458126.7591
Break and Enter Commercial,2022,5,30,4,42,10XX RAYMUR AVE,Strathcona,494011.8703,5458691.2305
Break and Enter Commercial,2022,4,9,20,3,10XX RICHARDS ST,Central Business District,491127.0236,5458305.7226
Break and Enter Commercial,2022,5,23,6,15,10XX ROBSON ST,West End,490924.6317,5459091.0189
Break and Enter Commercial,2022,4,21,13,6,10XX ROBSON ST,West End,490930.2061,5459085.511
Break and Enter Commercial,2022,4,24,4,51,10XX ROBSON ST,West End,490948.0239,5459080.7589
Break and Enter Commercial,2022,4,28,4,49,10XX ROBSON ST,West End,490949.1698,5459066.7704
Break and Enter Commercial,2022,5,24,5,47,10XX ROBSON ST,West End,490981.4635,5459034.8584
Break and Enter Commercial,2022,3,27,0,49,10XX ROBSON ST,West End,491064.6557,5458965.5031
Break and Enter Commercial,2022,3,22,3,30,10XX SEYMOUR ST,Central Business District,491033.5778,5458334.346
Break and Enter Commercial,2022,2,14,0,0,10XX SMITHE ST,West End,490889.6581,5458932.8868
Break and Enter Commercial,2022,1,13,3,33,10XX STATION ST,Strathcona,492837.9336,5458068.253
Break and Enter Commercial,2022,3,24,21,54,10XX VERNON DR,Strathcona,494274.836,5458072.496
Break and Enter Commercial,2022,4,21,4,20,10XX W 13TH AVE,Fairview,490699.7094,5456333.1993
Break and Enter Commercial,2022,3,13,19,29,10XX W 15TH AVE,Fairview,490661.6896,5456122.0101
Break and Enter Commercial,2022,5,9,6,21,10XX W 15TH AVE,Fairview,490661.6896,5456122.0101
Break and Enter Commercial,2022,2,3,12,42,10XX W 42ND AVE,Oakridge,490657.8843,5453363.0487
Break and Enter Commercial,2022,4,12,20,37,10XX W 58TH AVE,Marpole,490608.9169,5451723.8118
Break and Enter Commercial,2022,5,11,5,15,10XX W BROADWAY AVE,Fairview,490680.1407,5456743.9956
Break and Enter Commercial,2022,1,11,0,18,10XX W BROADWAY AVE,Fairview,490755.7444,5456742.0604
Break and Enter Commercial,2022,1,25,5,17,10XX W GEORGIA ST,Central Business District,491115.752,5459163.1779
Break and Enter Commercial,2022,3,27,5,33,10XX W KING EDWARD AVE,Shaughnessy,490656.6077,5455187.0869
Break and Enter Commercial,2022,4,15,11,19,10XX W PENDER ST,Central Business District,491263.9592,5459407.5907
Break and Enter Commercial,2022,4,11,6,8,10XX W PENDER ST,Central Business District,491366.2987,5459367.0446
Break and Enter Commercial,2022,2,11,4,50,11XX ALBERNI ST,West End,491001.9697,5459192.9578
Break and Enter Commercial,2022,5,9,4,45,11XX BURRARD ST,Central Business District,490652.9912,5458531.3632
Break and Enter Commercial,2022,3,10,23,0,11XX CHESTNUT ST,Kitsilano,489371.2179,5458168.0532
Break and Enter Commercial,2022,4,9,5,0,11XX CHESTNUT ST,Kitsilano,489371.2179,5458168.0532
Break and Enter Commercial,2022,4,20,13,42,11XX DAVIE ST,West End,490331.5625,5458754.8592
Break and Enter Commercial,2022,3,9,13,33,11XX DENMAN ST,West End,489715.3524,5459422.986
Break and Enter Commercial,2022,5,11,8,50,11XX E 45TH AVE,Sunset,494016.1229,5452927.83
Break and Enter Commercial,2022,3,8,7,12,11XX E PENDER ST,Strathcona,494166.864,5458585.1249
Break and Enter Commercial,2022,5,19,19,0,11XX GILFORD ST,West End,489675.857,5459611.2429
Break and Enter Commercial,2022,2,11,15,0,11XX GILFORD ST,West End,489677.2724,5459612.6816
Break and Enter Commercial,2022,2,25,1,0,11XX GRANVILLE ST,Central Business District,490849.4359,5458295.9346
Break and Enter Commercial,2022,3,10,19,0,11XX GRANVILLE ST,Central Business District,490849.4359,5458295.9346
Break and Enter Commercial,2022,5,19,4,50,11XX GRANVILLE ST,Central Business District,490852.5747,5458312.0559
Break and Enter Commercial,2022,2,11,5,48,11XX GRANVILLE ST,Central Business District,490883.6102,5458343.2561
Break and Enter Commercial,2022,2,9,11,29,11XX GRANVILLE ST,Central Business District,490885.5183,5458332.2084
Break and Enter Commercial,2022,4,19,8,0,11XX GRANVILLE ST,Central Business District,490890.0931,5458336.8074
Break and Enter Commercial,2022,5,24,4,30,11XX GRANVILLE ST,Central Business District,490912.4289,5458372.2277
Break and Enter Commercial,2022,1,4,11,53,11XX HAMILTON ST,Central Business District,491169.8317,5458106.3448
Break and Enter Commercial,2022,5,23,12,11,11XX HARWOOD ST,West End,490252.9624,5458533.8334
Break and Enter Commercial,2022,3,17,6,38,11XX HOMER ST,Central Business District,491104.8139,5458126.4139
Break and Enter Commercial,2022,2,1,14,45,11XX HOMER ST,Central Business District,491118.2287,5458139.7575
Break and Enter Commercial,2022,1,8,18,50,11XX HORNBY ST,Central Business District,490765.3084,5458508.2562
Break and Enter Commercial,2022,6,2,7,1,11XX KINGSWAY AVE,Kensington-Cedar Cottage,494115.304,5455524.7121
Break and Enter Commercial,2022,5,31,19,30,11XX KINGSWAY AVE,Kensington-Cedar Cottage,494165.7394,5455488.7734
Break and Enter Commercial,2022,5,2,21,35,11XX MAIN ST,Central Business District,492720.2567,5457977.1068
Break and Enter Commercial,2022,4,3,0,14,11XX MAIN ST,Central Business District,492721.0099,5457998.7443
Break and Enter Commercial,2022,5,1,4,33,11XX MAINLAND ST,Central Business District,491142.8658,5458001.6305
Break and Enter Commercial,2022,2,22,5,32,11XX MAINLAND ST,Central Business District,491154.474,5458026.0031
Break and Enter Commercial,2022,6,20,3,24,11XX MAINLAND ST,Central Business District,491165.7514,5458037.1762
Break and Enter Commercial,2022,1,18,4,48,11XX MAINLAND ST,Central Business District,491197.3282,5458068.4608
Break and Enter Commercial,2022,2,5,15,0,11XX MELVILLE ST,Central Business District,491076.9743,5459365.1598
Break and Enter Commercial,2022,4,9,23,42,11XX MELVILLE ST,Central Business District,491078.0856,5459364.0845
Break and Enter Commercial,2022,4,22,11,40,11XX PENDRELL ST,West End,490468.1037,5458772.9459
Break and Enter Commercial,2022,3,1,9,18,11XX RICHARDS ST,Central Business District,491058.183,5458236.7356
Break and Enter Commercial,2022,4,11,3,30,11XX ROBSON ST,West End,490807.3948,5459220.9589
Break and Enter Commercial,2022,4,25,5,9,11XX ROBSON ST,West End,490827.3798,5459188.0745
Break and Enter Commercial,2022,3,15,4,55,11XX ROBSON ST,West End,490865.5807,5459149.92
Break and Enter Commercial,2022,1,14,16,14,11XX ROBSON ST,West End,490909.5334,5459106.0202
Break and Enter Commercial,2022,5,13,12,0,11XX SEYMOUR ST,Central Business District,490997.8219,5458311.1957
Break and Enter Commercial,2022,3,26,14,0,11XX VERNON DR,Strathcona,494273.6322,5457999.8731
Break and Enter Commercial,2022,4,27,7,10,11XX VERNON DR,Strathcona,494273.6322,5457999.8731
